序号,漫剧名称,平台,播放量(亿),点赞数(万),评论数(万),题材类型,剧情套路,制作方式,目标受众,集数,单集时长(分钟),首播时间
1,重生之都市修仙,抖音,12.8,2800,180,都市重生,重生复仇+修仙,AI生成+人工精修,18-35岁男性,80,2,2024-03
2,billionaire重生：从摆地摊开始,快手,9.5,1900,120,都市重生,重生逆袭+创业,AI生成,18-40岁男性,60,1.5,2024-05
3,重生之我回到了高考前,抖音,7.2,1500,95,都市重生,重生逆袭+校园,AI生成,18-30岁全性别,45,2,2024-06
4,重生之豪门弃妇逆袭,快手,6.8,1400,88,都市重生,重生复仇+女性向,AI生成+人工配音,25-40岁女性,55,1.8,2024-04
5,重生之我是股神,视频号,5.5,1100,72,都市重生,重生逆袭+金融,AI生成,30-45岁男性,40,2.5,2024-07
6,凡人修仙传AI重制版,B站/抖音,15.2,3200,250,修仙玄幻,废柴逆袭+系统,AI重制+人工精修,18-35岁全性别,120,3,2024-01
7,我师兄实在太稳健了,抖音,11.5,2500,180,修仙玄幻,稳健流+反套路,AI生成,18-30岁全性别,85,2,2024-02
8,一念永恒AI漫剧版,快手,8.8,1800,135,修仙玄幻,热血成长+友情,AI生成,18-35岁全性别,100,2,2024-03
9,仙逆AI短剧,抖音,7.9,1600,110,修仙玄幻,复仇逆袭+升级,AI生成,18-35岁男性,75,2.5,2024-05
10,凡人修仙：开局签到十万年,快手,6.5,1300,95,修仙玄幻,签到系统+无敌流,AI生成,18-30岁男性,60,1.5,2024-06
11,闪婚后豪门老公马甲藏不住,抖音,14.5,3800,320,甜宠恋爱,先婚后爱+隐藏身份,AI生成+真人配音,18-30岁女性,90,1.5,2024-01
12,替嫁新娘：亿万老公宠上天,快手,10.2,2200,185,甜宠恋爱,替嫁+先婚后爱,AI生成,18-35岁女性,70,1.8,2024-03
13,萌宝来袭：总裁爹地快投降,抖音,9.8,2100,170,甜宠恋爱,萌宝助攻+破镜重圆,AI生成,20-35岁女性,65,2,2024-04
14,契约婚姻：总裁的千亿甜妻,快手,8.3,1900,155,甜宠恋爱,契约婚姻+甜宠,AI生成,18-30岁女性,55,1.5,2024-05
15,重生后我成了死对头的白月光,视频号,6.9,1500,125,甜宠恋爱,重生+双向暗恋,AI生成,18-30岁女性,50,2,2024-06
16,猎罪图鉴漫剧版,抖音,7.8,1400,220,悬疑推理,单元探案+心理,AI生成+真人配音,20-40岁全性别,48,3,2024-03
17,破茧：AI探案录,快手,6.2,1100,165,悬疑推理,昆虫探案+悬疑,AI生成,20-35岁全性别,40,2.5,2024-04
18,法医秦明AI版,抖音,5.8,980,142,悬疑推理,法医破案+惊悚,AI生成,20-40岁全性别,36,3,2024-05
19,隐秘的角落漫剧版,快手,5.1,850,128,悬疑推理,家庭悬疑+反转,AI生成,18-40岁全性别,30,3,2024-06
20,沉默的真相AI漫剧,视频号,4.3,720,105,悬疑推理,社会派推理+正义,AI生成,25-45岁全性别,28,3.5,2024-07
21,回到明朝当王爷AI版,抖音,8.5,1600,145,历史穿越,穿越+历史权谋,AI生成,25-40岁男性,100,2.5,2024-02
22,穿越大秦：开局统一六国,快手,7.1,1300,115,历史穿越,穿越+争霸,AI生成,20-35岁男性,80,2,2024-03
23,唐朝好地主AI漫剧,抖音,6.3,1100,98,历史穿越,穿越+经商致富,AI生成,25-40岁男性,75,2,2024-04
24,带着仓库回大明,快手,5.5,950,85,历史穿越,穿越+物资流,AI生成,25-40岁男性,65,2.5,2024-05
25,三国之我是袁绍AI版,视频号,4.8,820,78,历史穿越,穿越+三国争霸,AI生成,25-40岁男性,60,2.5,2024-06
26,末日生存,抖音,6.5,1200,145,科幻末世,末日求生+基建,AI生成,20-35岁全性别,70,2.5,2024-04
27,全球冰封AI漫剧,快手,5.2,950,112,科幻末世,末日求生+重生,AI生成,20-35岁全性别,55,2,2024-05
28,星际穿越AI版,抖音,4.8,880,98,科幻末世,科幻+探险,AI生成,18-35岁全性别,45,3,2024-06
29,全职高手AI漫剧,B站,7.2,1500,165,游戏电竞,电竞+成长,AI生成+人工精修,18-30岁全性别,80,2.5,2024-03
30,王者荣耀：荣耀之巅,抖音,5.8,1100,125,游戏电竞,游戏+竞技,AI生成,16-30岁全性别,60,1.5,2024-05
31,神雕侠侣AI重制版,B站,6.8,1300,145,武侠江湖,武侠+爱情,AI重制,25-45岁全性别,50,3,2024-04
32,笑傲江湖AI漫剧版,快手,5.5,1050,120,武侠江湖,武侠+江湖恩怨,AI生成,25-45岁全性别,45,3,2024-05
33,半泽直树：职场逆袭,抖音,4.5,850,95,职场商战,职场+复仇,AI生成+真人配音,25-40岁职场人,40,2.5,2024-06
34,打工人的逆袭,快手,3.8,720,78,职场商战,职场+成长,AI生成,22-35岁职场人,35,2,2024-07
35,重生之我是校花,抖音,5.2,980,88,都市重生,重生+校园恋爱,AI生成,18-25岁女性,50,1.5,2024-05
36,重生之我是亿万富翁,快手,4.6,850,72,都市重生,重生+商业帝国,AI生成,25-40岁男性,45,2,2024-06
37,我的系统是财神爷,抖音,7.8,1450,155,都市玄幻,系统流+暴富,AI生成,18-35岁全性别,70,1.8,2024-04
